	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD
Acinetobacter.01	0.00046787273861509700	0.00937081659973226000	0.00000000000000000000	0.00130718954248366000	0.00071581961345740900	0.00016570008285004100	0.00000000000000000000	0.00000000000000000000	0.00473132815140250000	0.01213318284424380000	0.00000000000000000000	0.00000000000000000000	0.00145985401459854000	0.00044140366365040800	0.00222882615156018000	0.00082630970087588800	0.00177619893428064000	0.00086005651799975400	0.00043744531933508300	0.00069204152249134900	0.00000000000000000000	0.00063291139240506300	0.00321543408360129000	0.00000000000000000000	0.00055509297807382700	0.00023161551823972200	0.00074766355140186900	0.00023078698361412400	0.00000000000000000000	0.00076379606645025800	0.00073691967575534300	0.00049419322955275500	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00105207785376118000	0.00000000000000000000	0.00000000000000000000	0.00041588687876897500	0.00040816326530612200	0.00000000000000000000	0.00037188545927854200	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
Acinetobacter.02	0.00015595757953836600	0.00030892801977139300	0.00000000000000000000	0.00073529411764705900	0.00000000000000000000	0.00033140016570008300	0.00198019801980198000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00095693779904306200	0.00000000000000000000	0.00022070183182520400	0.00074294205052005900	0.00049578582052553300	0.00177619893428064000	0.00000000000000000000	0.00000000000000000000	0.00138408304498270000	0.00081632653061224500	0.00126582278481013000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00127388535031847000	0.00037383177570093500	0.00138472190168474000	0.00000000000000000000	0.00000000000000000000	0.00196511913534758000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00317965023847377000	0.00000000000000000000	0.00052603892688058900	0.00000000000000000000	0.00000000000000000000	0.00041588687876897500	0.00176870748299320000	0.00021249468763280900	0.00018594272963927100	0.00864553314121038000	0.00000000000000000000	0.00000000000000000000
Actinomyces.01	0.00764192139737991000	0.00051488003295232200	0.00000000000000000000	0.00972222222222222000	0.00429491768074445000	0.00613090306545153000	0.00198019801980198000	0.00000000000000000000	0.00574518418384589000	0.00536117381489842000	0.00648508430609598000	0.00956937799043062000	0.01313868613138690000	0.00882807327300817000	0.00148588410104012000	0.03949760370186750000	0.00710479573712256000	0.01130359995085390000	0.00787401574803150000	0.00622837370242215000	0.00789115646258503000	0.00791139240506329000	0.00000000000000000000	0.02379421221864950000	0.00000000000000000000	0.01215981470758540000	0.03514018691588780000	0.00046157396722824800	0.00206982199530840000	0.00038189803322512900	0.04691721935642350000	0.00172967630343464000	0.01198402130492680000	0.00000000000000000000	0.01112877583465820000	0.00597213005972130000	0.00736454497632825000	0.01914357682619650000	0.00145772594752187000	0.01185277604491580000	0.00816326530612245000	0.01019974500637480000	0.02287095574563030000	0.00749279538904899000	0.03024193548387100000	0.00784313725490196000
Actinomyces.02	0.00842170929507174000	0.00072083204613325100	0.00022701475595913700	0.01789215686274510000	0.00930565497494631000	0.00679370339685170000	0.00000000000000000000	0.00000000000000000000	0.00101385603244339000	0.00253950338600451000	0.01686121919584950000	0.01339712918660290000	0.00583941605839416000	0.00750386228205694000	0.00000000000000000000	0.00793257312840853000	0.01598579040852580000	0.01032067821599710000	0.00787401574803150000	0.01868512110726640000	0.00952380952380952000	0.00981012658227848000	0.00000000000000000000	0.00334405144694534000	0.00000000000000000000	0.02154024319629420000	0.02616822429906540000	0.00046157396722824800	0.00000000000000000000	0.00019094901661256400	0.04470646032915750000	0.00049419322955275500	0.00399467376830892000	0.00514138817480720000	0.00635930047694754000	0.01128069011280690000	0.01262493424513410000	0.01410579345088160000	0.00437317784256560000	0.01414015387814510000	0.00734693877551020000	0.00956226094347641000	0.02380066939382670000	0.00403458213256484000	0.01209677419354840000	0.00784313725490196000
Alicyclobacillus.01	0.00171553337492202000	0.09823911028730310000	0.00295119182746879000	0.00653594771241830000	0.00071581961345740900	0.01242750621375310000	0.00792079207920792000	0.03486238532110090000	0.00168976005407232000	0.00253950338600451000	0.00648508430609598000	0.00000000000000000000	0.00291970802919708000	0.00198631648642684000	0.00817236255572065000	0.00297471492315320000	0.00532859680284192000	0.00430028258999877000	0.00349956255468067000	0.00553633217993080000	0.00843537414965986000	0.00759493670886076000	0.00000000000000000000	0.00051446945337620600	0.02470163752428530000	0.00289519397799653000	0.00074766355140186900	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00294767870302137000	0.00765999505806770000	0.01065246338215710000	0.01799485861182520000	0.00476947535771065000	0.00199071001990710000	0.00157811678064177000	0.00352644836272040000	0.00072886297376093300	0.00436681222707424000	0.00122448979591837000	0.00616234594135147000	0.00185942729639271000	0.00230547550432277000	0.00000000000000000000	0.00588235294117647000
Anaerococcus.01	0.00015595757953836600	0.00041190402636185800	0.00000000000000000000	0.00416666666666667000	0.00357909806728704000	0.00149130074565037000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00194552529182879000	0.00095693779904306200	0.00000000000000000000	0.00154491282277643000	0.00000000000000000000	0.00115683358122624000	0.00000000000000000000	0.00122865216857108000	0.00131233595800525000	0.00138408304498270000	0.00081632653061224500	0.00348101265822785000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00289519397799653000	0.00149532710280374000	0.00000000000000000000	0.00068994066510280100	0.01241168607981670000	0.00049127978383689500	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00105207785376118000	0.00075566750629722900	0.00000000000000000000	0.00155957579538366000	0.00068027210884353700	0.00042498937526561800	0.00018594272963927100	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
Anaerococcus.02	0.00046787273861509700	0.00000000000000000000	0.00000000000000000000	0.00024509803921568600	0.00000000000000000000	0.00000000000000000000	0.00198019801980198000	0.00000000000000000000	0.00067590402162892900	0.00000000000000000000	0.00129701686121920000	0.00000000000000000000	0.00000000000000000000	0.00022070183182520400	0.00000000000000000000	0.00033052388035035500	0.00000000000000000000	0.00036859565057132300	0.00043744531933508300	0.00000000000000000000	0.00054421768707483000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00613781123335263000	0.00074766355140186900	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00024563989191844800	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00132714001327140000	0.00105207785376118000	0.00000000000000000000	0.00000000000000000000	0.00114368891661468000	0.00027210884353741500	0.00063748406289842800	0.00000000000000000000	0.00230547550432277000	0.00000000000000000000	0.00000000000000000000
Atopobium.01	0.01840299438552710000	0.00164761610544743000	0.00976163450624291000	0.01086601307189540000	0.01431639226914820000	0.00347970173985087000	0.00198019801980198000	0.00366972477064220000	0.00202771206488679000	0.00733634311512415000	0.01102464332036320000	0.00287081339712919000	0.00875912408759124000	0.00728316045023174000	0.00371471025260030000	0.02379771938522560000	0.02131438721136770000	0.01068927386656840000	0.00918635170603675000	0.01660899653979240000	0.00979591836734694000	0.01392405063291140000	0.00000000000000000000	0.00244372990353698000	0.00000000000000000000	0.01088592935726690000	0.02205607476635510000	0.00623124855758135000	0.00896922864633642000	0.00000000000000000000	0.01989683124539430000	0.00024709661477637800	0.00133155792276964000	0.00514138817480720000	0.00317965023847377000	0.01061712010617120000	0.01998947922146240000	0.00403022670025189000	0.00947521865889213000	0.00935745477230193000	0.02340136054421770000	0.01253718657033570000	0.00511342506507996000	0.00115273775216138000	0.00604838709677419000	0.00784313725490196000
Atopobium.02	0.00109170305676856000	0.00020595201318092900	0.00000000000000000000	0.00040849673202614400	0.00214745884037223000	0.00613090306545153000	0.00198019801980198000	0.00183486238532110000	0.00000000000000000000	0.00000000000000000000	0.00064850843060959800	0.00000000000000000000	0.00000000000000000000	0.00507614213197970000	0.00000000000000000000	0.00033052388035035500	0.00177619893428064000	0.00000000000000000000	0.00087489063867016600	0.00761245674740484000	0.00108843537414966000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00046323103647944400	0.00112149532710280000	0.00946226632817909000	0.01186697943976820000	0.00000000000000000000	0.00000000000000000000	0.00494193229552755000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00105207785376118000	0.00201511335012594000	0.00000000000000000000	0.00124766063630692000	0.00027210884353741500	0.00127496812579686000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
Bifidobacterium.01	0.00062383031815346200	0.00010297600659046400	0.00000000000000000000	0.00008169934640522880	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00304156809733018000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00044140366365040800	0.00000000000000000000	0.00016526194017517800	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00069204152249134900	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00046323103647944400	0.00074766355140186900	0.00438495268866836000	0.00855526424727473000	0.00000000000000000000	0.00000000000000000000	0.00098838645910551000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00066357000663570000	0.00000000000000000000	0.00000000000000000000	0.00145772594752187000	0.00020794343938448700	0.00013605442176870700	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
