	Active_A	Active_B	Active_C	Active_D	Active_E	Active_F	Active_G	Active_H	Active_I	Active_J	Active_K	Active_L	Active_M	Active_N	Active_O	Active_P	Active_Q	Active_R	Active_S	Active_T	Active_U	Active_V	Former_A	Former_B	Former_C	Former_D	Former_E	Former_F	Former_G	Former_H	Former_I	Former_J	Former_K	Former_L	Former_M	Former_N	Former_O	Former_P	Former_Q	Former_R	Former_S	Former_T	Former_U	Former_V	Former_X	Former_Y	Never_A	Never_B	Never_C	Never_D	Never_E	Never_F	Never_G	Never_H	Never_I
Acinetobacter.01	0.000632911	0.000555093	0.009370817	0.000231616	0.000747664	0.000230787	0	0.00073692	0.00130719	0.0001657	0	0.012133183	0	0	0	0	0.001459854	0	0.002228826	0.00082631	0.000860057	0.000437445	0.003215434	0	0.000467873	0	0.000763796	0.00071582	0.000494193	0	0	0	0	0.004731328	0	0.001052078	0	0	0.000415887	0.000408163	0	0.000371885	0.000441404	0.001776199	0.000692042	0	0.004453946	0.00183711	0	0.000226091	0.000547246	0.005670103	0	0	0.002287021
Acinetobacter.02	0.001265823	0	0.000308928	0.001273885	0.000373832	0.001384722	0	0.001965119	0.000735294	0.0003314	0	0	0	0.000212495	0.008645533	0	0	0	0.000742942	0.000495786	0	0	0	0	0.000155958	0	0	0	0	0.001980198	0	0	0.00317965	0	0	0.000526039	0	0	0.000415887	0.001768707	0.000956938	0.000185943	0.000220702	0.001776199	0.001384083	0.000816327	0.000356316	0.00122474	0	0.000452182	0.000547246	0	0	0	0
Actinomyces.01	0.007911392	0	0.00051488	0.012159815	0.035140187	0.000461574	0	0.046917219	0.009722222	0.006130903	0.011984021	0.005361174	0.00597213	0.010199745	0.007492795	0.030241935	0.013138686	0.007843137	0.001485884	0.039497604	0.0113036	0.007874016	0	0.023794212	0.007641921	0.002069822	0.000381898	0.004294918	0.001729676	0.001980198	0	0	0.011128776	0.005745184	0.006485084	0.007364545	0.019143577	0.001457726	0.011852776	0.008163265	0.009569378	0.022870956	0.008828073	0.007104796	0.006228374	0.007891156	0.000890789	0.006736069	0.001915709	0.05855754	0.018059103	0.006185567	0.00270636	0.032407407	0.008576329
Actinomyces.02	0.009810127	0	0.000720832	0.021540243	0.026168224	0.000461574	0.000227015	0.04470646	0.017892157	0.006793703	0.003994674	0.002539503	0.01128069	0.009562261	0.004034582	0.012096774	0.005839416	0.007843137	0	0.007932573	0.010320678	0.007874016	0	0.003344051	0.008421709	0	0.000190949	0.009305655	0.000494193	0	0.005141388	0	0.0063593	0.001013856	0.016861219	0.012624934	0.014105793	0.004373178	0.014140154	0.007346939	0.013397129	0.023800669	0.007503862	0.01598579	0.018685121	0.00952381	0.002137894	0.017146356	0	0.028261361	0.002553812	0.005154639	0.01217862	0.009259259	0.004002287
Alicyclobacillus.01	0.007594937	0.024701638	0.09823911	0.002895194	0.000747664	0	0.002951192	0.002947679	0.006535948	0.012427506	0.010652463	0.002539503	0.00199071	0.006162346	0.002305476	0	0.002919708	0.005882353	0.008172363	0.002974715	0.004300283	0.003499563	0	0.000514469	0.001715533	0	0	0.00071582	0.007659995	0.007920792	0.017994859	0.034862385	0.004769475	0.00168976	0.006485084	0.001578117	0.003526448	0.000728863	0.004366812	0.00122449	0	0.001859427	0.001986316	0.005328597	0.005536332	0.008435374	0.00249421	0.009185548	0.005747126	0.000678273	0	0.001546392	0.00405954	0	0.001143511
Anaerococcus.01	0.003481013	0	0.000411904	0.002895194	0.001495327	0	0	0.00049128	0.004166667	0.001491301	0	0	0	0.000424989	0	0	0	0	0	0.001156834	0.001228652	0.001312336	0	0	0.000155958	0.000689941	0.012411686	0.003579098	0	0	0	0	0	0	0.001945525	0.001052078	0.000755668	0	0.001559576	0.000680272	0.000956938	0.000185943	0.001544913	0	0.001384083	0.000816327	0.000534474	0.00061237	0.001915709	0.000452182	0	0	0.00135318	0	0
Anaerococcus.02	0	0	0	0.006137811	0.000747664	0	0	0.00024564	0.000245098	0	0	0	0.00132714	0.000637484	0.002305476	0	0	0	0	0.000330524	0.000368596	0.000437445	0	0	0.000467873	0	0	0	0	0.001980198	0	0	0	0.000675904	0.001297017	0.001052078	0	0	0.001143689	0.000272109	0	0	0.000220702	0	0	0.000544218	0	0.00061237	0	0.000452182	0.002553812	0	0.00541272	0	0
Atopobium.01	0.013924051	0	0.001647616	0.010885929	0.022056075	0.006231249	0.009761635	0.019896831	0.010866013	0.003479702	0.001331558	0.007336343	0.01061712	0.012537187	0.001152738	0.006048387	0.008759124	0.007843137	0.00371471	0.023797719	0.010689274	0.009186352	0	0.00244373	0.018402994	0.008969229	0	0.014316392	0.000247097	0.001980198	0.005141388	0.003669725	0.00317965	0.002027712	0.011024643	0.019989479	0.004030227	0.009475219	0.009357455	0.023401361	0.002870813	0.005113425	0.00728316	0.021314387	0.016608997	0.009795918	0	0.015309247	0.003831418	0.05335745	0.006019701	0.00257732	0.01217862	0.009259259	0.008004574
Atopobium.02	0	0	0.000205952	0.000463231	0.001121495	0.009462266	0	0	0.000408497	0.006130903	0	0	0	0.001274968	0	0	0	0	0	0.000330524	0	0.000874891	0	0	0.001091703	0.011866979	0	0.002147459	0.004941932	0.001980198	0	0.001834862	0	0	0.000648508	0.001052078	0.002015113	0	0.001247661	0.000272109	0	0	0.005076142	0.001776199	0.007612457	0.001088435	0	0.00122474	0.003831418	0	0	0	0.00135318	0	0
Bifidobacterium.01	0	0	0.000102976	0.000463231	0.000747664	0.004384953	0	0	8.17E-05	0	0	0	0.00066357	0	0	0	0	0	0	0.000165262	0	0	0	0	0.00062383	0.008555264	0	0	0.000988386	0	0	0	0	0.003041568	0	0	0	0.001457726	0.000207943	0.000136054	0	0	0.000441404	0	0.000692042	0	0	0.00061237	0	0	0	0	0	0	0
Bulleidia.01	0	0.000277546	0	0.000463231	0.002242991	0.000230787	0	0	0.000490196	0.0001657	0	0.000282167	0.00132714	0.000849979	0.002881844	0	0.002919708	0	0	0.000495786	0.000122865	0	0	0	0.000155958	0	0	0.00071582	0	0	0	0	0	0.001013856	0.000648508	0.000526039	0.01209068	0.010204082	0.000935745	0.000408163	0	0.009669022	0.003531229	0	0	0.001360544	0	0	0	0.000226091	0	0	0.00541272	0.001157407	0.001143511
Burkholderia.01	0	0.021093533	0.006590464	0.00671685	0.002242991	0.008077544	0.010669694	0.00049128	0.006862745	0.015907208	0.007989348	0.001410835	0.00398142	0.005099873	0.003458213	0.004032258	0.005839416	0.007843137	0.002228826	0.006279954	0.006757587	0.007874016	0.005512173	0.001157556	0.010761073	0.003035739	0.016230666	0.004294918	0.006177415	0.003960396	0.025706941	0.025688073	0.011128776	0.002703616	0.012970169	0.006838506	0.003778338	0.006559767	0.004366812	0.003945578	0.003827751	0.002975084	0.004193335	0.012433393	0.004152249	0.007891156	0.052200249	0.007960808	0.019157088	0.002487	0.006019701	0.007216495	0.00135318	0.010416667	0.004002287
C.Betaproteobacteria.01	0.00221519	0	0	0.001968732	0.001121495	0.000230787	0.00045403	0.00049128	0.000653595	0.0004971	0.011984021	0	0.00199071	0.004249894	0.014985591	0	0.00729927	0.003921569	0.015601783	0.000991572	0.0028259	0.002187227	0	0	0.000467873	0.000137988	0	0.003579098	0	0.001980198	0	0	0.017488076	0.009800608	0.005188067	0.000526039	0.001511335	0.005830904	0.001559576	0.000952381	0.002870813	0.00883228	0.00485544	0.008880995	0.002076125	0.001904762	0	0.003061849	0.001915709	0.000452182	0.02608537	0.008247423	0.00405954	0.002314815	0.005145798
